SAMPLE ID	IGSN	SOURCE	REFERENCE	CRUISE ID	LATITUDE	LONGITUDE	LOC PREC	MIN AGE	AGE	MAX AGE	MATERIAL	TYPE	COMPOSITION	ROCK NAME	MINERAL	SIO2	TIO2	AL2O3	CR2O3	FE2O3	FE2O3T	FEO	FEOT	NIO	MNO	MGO	CAO	NA2O	K2O	P2O5	BAO	LOI	H2O	H2O_M	H2O_P	SO3	V2O3	ZNO	FE	MN	NI	CO	CU	CD	ZN	AS	AG	S	AL	CA	MG	SR87_SR86	SR87_SR86_INI	RB87_SR86	ND143_ND144	SM147_ND144	PB206_PB204	PB207_PB204	PB208_PB204	BE10	BE10_BE9	SR87_SR86_INI	AR	AR39	AR40	AR38_AR36	AR40_AR36	AR40_AR39	LA	CE	PR	ND	SM	EU	GD	TB	DY	HO	ER	TM	YB	LU	CO2	F	CL	OH	U238_PB204	TH232_PB204	RA	AG	AL	AS	AU	B	BA	BE	BI	BR	C	CA	CD	CO	CR	CS	CU	GA	GER	HF	HG	I	INDIUM	K	LI	MG	MN	MO	NA	NB	NI	P	PB	PD	RB	RE	S	SB	SC	SE	SN	SR	TA	TE	TH	TI	TL	U	V	W	Y	ZN	ZR	TI	AS	AS	GER	H2O_M	H2O_P	H2O_M	H2O_P	INDIUM
PA-86		GEOROC	D^ORAZIO, M.; INNOCENTI, F.; MANETTI, P.; TAMPONI, M.; TONARINI, S.; GONZALES FERRAN, O.; LAHSEN, A.; OMARINI, R. H., 2003		-45.092	-73.175	0.01				igneous	volcanic	felsic	dacite																																						0.704099			0.512838																																																																																															
HV28		GEOROC	GUTIERREZ, M.; GIONCADA, A.; GONZALES FERRAN, O.; LAHSEN, A.; MAZZUOLI, R., 2005		-45.2133	-73.0772	0.01				igneous	volcanic	felsic	dacite		68.831	0.639	15.671					3.244		0.101	1.308	2.556	5.305	2.15	0.193		0.75									3	2	7																										30.2	61	10.4	44	9.7	1.98	9.9	1.62	9.6	2.07	5.6	0.83	5	0.77													583	2.3						2	80	7.72	7			6.5										8.3	3		15.4		57				12			284	0.56		5.9			1.62	26		66		247									
RA08 N		GEOROC	ALFANO, F.; BONADONNA, C.; VOLENTIK, A. C. M.; CONNOR, C. B.; WATT, S. F. L.; PYLE, D. M.; CONNOR, L. J., 2011		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite		75.617	0.152	14.138					1.335		0.051	0.263	1.375	3.883	3.186																																																																																																																									
662.887368421053		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													5.53		38.24	10.36				9691.24																							2.66	0.558																		10.36								9691.24					5.53	17.4		3.45					58.18			1.63					18.89		114.6			0.76			1.9				11.71	717.93	0.6	3.33				38.24		717.93	10.36	10.36						
710.584210526316		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													4.29		57.83	83.96				11997.3																							2.02	0.64																		83.96								11997.3					4.29	20.13		2.68					30.04			8.6					21.52		77.68			6.48			2.43				11.92	650.67	0.68	2.78				57.83		650.67	83.96	83.96						
CHTN_CH3		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0																																																					0.397023																																																																
786.605789473684		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													8.95		118.02	38.11				10926.4																							2.02	0.33																		38.11								10926.4					8.95	23.41		1.97					16.41			5.89					30.06		97.92	0.15		4.5			3.84				8.94	841.29	0.64	2.22				118.02		841.29	38.11	38.11						
CHTN_10CMB_GRN21		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.0953082																																																					0.696676																																																																
C10-A2		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite		75.406	0.14	13.987					1.339		0.058	0.254	1.475	4.234	3.043	0.064																																																																																																																								
TUFFVEINP4		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.291498																																																					0.653584																																																																
TUFFVEINP4		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.258092																																																					0.591087																																																																
TUFFVEINP4		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.228667																																																					0.638122																																																																
CHTN_10CMB_GRN36		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.237837																																																					0.707562																																																																
CHAITEN 2008		GEOROC	MORENO, P. I.; ALLOWAY, B. V.; VILLAROSA, G.; OUTES, V.; HENRIQUEZ, W. I.; DE POL-HOLZ, R.; PEARCE, N. J. G., 2015		-42.916	-72.716	0.01				igneous	volcanic	felsic	rhyolite		75.98	0.12	14.05					1.27		0.06	0.26	1.26	3.86	3.14																																																																																																																									
1120.4652631579		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																															38.1	15.55				9211.49																							2.61	0.41																		15.55								9211.49						17.26		3.4					53.04			1.76					18.92		138.9			0.77			1.7				11.54	710.95	1.08	3.33				38.1		710.95	15.55	15.55						
2141.71736842105		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													12.28		58.39	13.12				9481.99																							2.83	0.408																		13.12								9481.99					12.28	20.82		3.04					53.22			1.97					19.13		104.49			0.87			2.24				9.94	705.08	0.63	3.06				58.39		705.08	13.12	13.12						
CHTN_10CMA_G17		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.0220548																																																					0.532184																																																																
CHTN_50CMB_GR22		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.118151																																																					0.608712																																																																
2797.9052631579		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																															41.23	12.11				8566.96																							2.62	0.436																		12.11								8566.96						17.22		2.96					61.32			1.54					16.75		121.57			0.71			0.93				10.68	699.49	0.84	3.24				41.23		699.49	12.11	12.11						
1849.41894736842		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													7.78		102.11	16.13				10100.9																							3.38	0.58																		16.13								10100.9					7.78	17.39		2.84					82.03			1.29					20.11		113.59			1.04			11.03				11.9	771.95	1	2.91				102.11		771.95	16.13	16.13						
2368.75947368421		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													9.32		44.91	11.78				9442.16																							2.89	0.403																		11.78								9442.16					9.32	17.21		2.6					70.03			1.13					17.07		110.48	0.095		0.67			2.51				11.35	710.78	0.68	3.21				44.91		710.78	11.78	11.78						
CHTN3_GR2		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.262011																																																					0.794405																																																																
1261.24157894737		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													7.64		52.57	22.5				9050.13																							2.75	0.55																		22.5								9050.13					7.64	17.55		2.75					53.8			2.24					21.35		130.17			1.5			1.88				11.74	736.54	0.67	3.44				52.57		736.54	22.5	22.5						
CHTN1_W3		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.077139																																																					0.572366																																																																
CHTN_10CMA_G14		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.0935753																																																					0.802234																																																																
CHTN_10CMB_GRN17		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.249534																																																					0.75312																																																																
RA08 G		GEOROC	ALFANO, F.; BONADONNA, C.; VOLENTIK, A. C. M.; CONNOR, C. B.; WATT, S. F. L.; PYLE, D. M.; CONNOR, L. J., 2011		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite		75.79	0.122	14.01					1.29		0.041	0.274	1.341	3.881	3.251																																																																																																																									
1044.61		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													7.79		53.53	24.63				10304.5																							2.44	0.5																		24.63								10304.5					7.79	18.26		2.57					47.65			2.34					21.55		113.09			1.89			2.33				10.64	668.36	0.98	2.78				53.53		668.36	24.63	24.63						
CHTN_50CMB_GR14		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.146003																																																					0.69819																																																																
2770.58368421053		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																															28.99	19.69				9769.13																							2.33	0.42																		19.69								9769.13						15.5		2.45					60.82			1.45					16.81		107.8	0.089		1.53			1.68				9.88	652.82	0.81	2.97				28.99		652.82	19.69	19.69						
CHTN_10CMB_GRN16		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.185201																																																					0.660391																																																																
739.757368421053		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																															191.7	94.86				12144.5																							2.45	0.46																		94.86								12144.5						38.89		2.97					32.49			9.55					43.42		94.85			6.94			3.79				12.79	929.96	0.67	3.96				191.7		929.96	94.86	94.86						
CHTN1_W1		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0																																																					0.341299																																																																
1245.65947368421		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																															37.96	12.91				8850.58																							2.26	0.36																		12.91								8850.58						18.24		3.43					56.38			1.33					19.49		136.17			0.65			2				12.12	731.88	1.1	3.28				37.96		731.88	12.91	12.91						
CHR_FT_1A		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																																																																								0.1																																																																
CHR_FT_1B		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																																																																								0.09																																																																
CHCR10		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.19																																																					0.55																																																																
CHCR10		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.14																																																					0.46																																																																
CHTN_10CMB_GRN2		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.199281																																																					0.762796																																																																
345.894210526316		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																															44.68	12.84				9920.28																							2.91	0.61																		12.84								9920.28						19.04		2.5					61.41			1.55					19.71		118.13	0.14		0.55			1.3				12.59	764.42	0.77	3.72				44.68		764.42	12.84	12.84						
CHTN_10CMB_GRN11		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.263397																																																					0.806339																																																																
CHTN_50CMB_GR17		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.245255																																																					0.77492																																																																
CHRIMB		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.15																																																					0.62																																																																
CHRIMB		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.15																																																					0.63																																																																
CHRIMB		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.18																																																					0.48																																																																
CHRIMB		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.15																																																					0.63																																																																
992.369473684211		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													6.08		45.13	12.81				9643.84																							3.21	0.366																		12.81								9643.84					6.08	18.35		2.28					56.92			2.04					20.15		123.31			1.12			1.99				11.93	757.17	0.43	3.39				45.13		757.17	12.81	12.81						
2519.19368421053		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													6.23		34.85	15.56				9218.32																							2.87	0.54																		15.56								9218.32					6.23	17.24		3.45					68.55			1.23					20.32		113.85			0.54			1.76				11.74	718.77	0.81	3.17				34.85		718.77	15.56	15.56						
MT4		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.1																																																					0.27																																																																
MT4		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.1																																																					0.18																																																																
CHTN3_GR6		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.225274																																																					0.753658																																																																
879.806842105263		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													8		73.47	35.59				9751.74																							2.61	0.408																		35.59								9751.74					8	16.93		2.4					47.81			3.83					21.1		119.45			2.99			1.76				13.67	734.91	0.67	3.36				73.47		734.91	35.59	35.59						
679.043157894737		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																															42.42	14.05				9674.48																							2.78	0.327																		14.05								9674.48						18.57		3.14					56.49			1.46					19.09		127.22			0.96			1.56				11.62	789.56	0.55	3.4				42.42		789.56	14.05	14.05						
770.84052631579		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													14.55		51.46	20.04				8229.66																							2.35	0.32																		20.04								8229.66					14.55	15.32		1.71					18.78			1.24					18.38		88.89			2.57			2.45				9.67	557.82	0.47	2.49				51.46		557.82	20.04	20.04						
CHTN_10CMA_G11		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.265517																																																					0.725705																																																																
1185.48789473684		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																													6.32		52.77	32.34				9036.75																							3.61	0.69																		32.34								9036.75					6.32	16.89		3.88					55.07			3.12					17.54		129.83			2.36			2.04				12.58	1045.12	0.68	3.84				52.77		1045.12	32.34	32.34						
CHTN3_GR1		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.198848																																																					0.765619																																																																
1638.0052631579		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																															79.2	15.95				9332.31																							2.42	0.42																		15.95								9332.31						17.15		2.59					75.82			1.36					21.24		110.36			0.74			2.66				10.59	687.96	0.61	3.29				79.2		687.96	15.95	15.95						
CHTN_10CMB_GRN35		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.183685																																																					0.730543																																																																
834.694736842105		GEOROC	BERLO, K.; TUFFEN, H.; SMITH, V. C.; CASTRO, J. M.; PYLE, D. M.; MATHER, T. A.; GERAKI, K., 2013		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																															35.96	25.06				9143.27																							2.35	0.511																		25.06								9143.27						17.17		3.84					47.36			2.6					19.35		114.64			1.12			1.76				11.34	704.24	0.74	2.89				35.96		704.24	25.06	25.06						
TUFFVEINP5.6		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.292323																																																					0.629463																																																																
TUFFVEINP5.6		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.263178																																																					0.634527																																																																
TUFFVEINP5.6		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.228011																																																					0.550368																																																																
TUFFVEINP5.6		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.249277																																																					0.555891																																																																
TUFFVEINP5.6		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.21368																																																					0.541869																																																																
TUFFVEINP5.6		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.21913																																																					0.550952																																																																
TUFFVEINP5.6		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.256666																																																					0.53013																																																																
TUFFVEINP5.6		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.22587																																																					0.597165																																																																
TUFFVEINP5.6		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite																			0.269407																																																					0.5458																																																																
C10-A1		GEOROC	CASTRO, J. M.; CORDONNIER, B.; TUFFEN, H.; TOBIN, M. J.; PUSKAR, L.; MARTIN, M. C.; BECHTEL, H. A., 2012		-42.916	-72.716	0.01	-1e-06	-1e-06	-1e-06	igneous	volcanic	felsic	rhyolite		75.381	0.14	14.003					1.339		0.058	0.263	1.469	4.24	3.043	0.064																																																																																																																								
