SAMPLE ID	IGSN	SOURCE	REFERENCE	CRUISE ID	LATITUDE	LONGITUDE	LOC PREC	MIN AGE	AGE	MAX AGE	MATERIAL	TYPE	COMPOSITION	ROCK NAME	MINERAL	SIO2	TIO2	AL2O3	CR2O3	FE2O3	FE2O3T	FEO	FEOT	NIO	MNO	MGO	CAO	NA2O	K2O	P2O5	BAO	LOI	H2O	H2O_M	H2O_P	SO3	V2O3	ZNO	FE	MN	NI	CO	CU	CD	ZN	AS	AG	S	AL	CA	MG	SR87_SR86	SR87_SR86_INI	RB87_SR86	ND143_ND144	SM147_ND144	PB206_PB204	PB207_PB204	PB208_PB204	BE10	BE10_BE9	SR87_SR86_INI	AR	AR39	AR40	AR38_AR36	AR40_AR36	AR40_AR39	LA	CE	PR	ND	SM	EU	GD	TB	DY	HO	ER	TM	YB	LU	CO2	F	CL	OH	U238_PB204	TH232_PB204	RA	AG	AL	AS	AU	B	BA	BE	BI	BR	C	CA	CD	CO	CR	CS	CU	GA	GER	HF	HG	I	INDIUM	K	LI	MG	MN	MO	NA	NB	NI	P	PB	PD	RB	RE	S	SB	SC	SE	SN	SR	TA	TE	TH	TI	TL	U	V	W	Y	ZN	ZR	TI	AS	AS	GER	H2O_M	H2O_P	H2O_M	H2O_P	INDIUM
C7		GEOROC	VENTURELLI, G.; FRAGIPANE, M.; WEIBEL, M.; ANTIGA, D., 1978		-15.5	-72.55	0.01				igneous	volcanic	felsic	dacite		63.747	0.947	16.378					4.454		0.071	2.016	4.384	4.485	3.124	0.393			0.4									16	54		77																																																									16			54								20					11					91							878							105		15	77	232									
OP-08		GEOROC	ARAMAKI, S.; ONUMA, N.; PORTILLO, F., 1984		-15.265	-72.3433	0.01				igneous	volcanic	felsic	dacite		63.87	0.945	16.475					4.577		0.07	1.98	4.232	4.383	3.126	0.342																																																																																																																								
OP-08		GEOROC	ONUMA, N.; MONTOYA, M., 1984		-15.265	-72.3433	0.01				igneous	volcanic	felsic	dacite																																				29600																																													1270					29600																														936																				
PIG-03-123		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.5689	-73.0842	0.01	2.6	12.8	23	igneous	volcanic	felsic	rhyolite		68.918	0.539	15.315					2.905		0.066	1.076	2.815	4.325	3.849	0.19											2.21556	2	6.52478	0.121384	48																								26.7351	45.4804	4.40634	14.3706	1.85881	0.389219	1.38632	0.141636	0.727742	0.127138	0.352416	0.0499061	0.340265	0.0528609													1048						0.121384	2	8	3.65989	6.52478	18		2.7951					11.8669			1.28928		10	2.21556		21		113				3			384	0.828059		4.79955			1.15541	26	1.76617	6	48	178									
17		GEOROC	VENTURELLI, G.; FRAGIPANE, M.; WEIBEL, M.; ANTIGA, D., 1978		-15.77	-72.77	0.01				igneous	volcanic	felsic	rhyolite		72.156	0.403	14.209					2.166		0.081	0.504	1.008	4.636	4.736	0.101			0.4									15	10		35																																																									15			10								15					15					175							90							10		29	35	287									
BAR-03-01		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.0786	-72.7183	0.01	5.3	14.15	23	igneous	volcanic	felsic	dacite		67.175	0.658	15.711					3.38		0.089	0.987	2.659	4.381	4.733	0.227											24	24	85	0.123844	75																								25.5591	52.0126	6.4023	26.18	4.96093	1.46988	4.45981	0.616573	3.31206	0.610996	1.71309	0.217379	1.39835	0.210409													847						0.123844	24	47	0.613022	85	19		4.25501					12.1558			0.911869		4	24		13		31				22			782	0.267141		2.28148			0.330508	189	0.273735	16	75	133									
PIG-00-07		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.2617	-73.3472	0.01	5.3	14.15	23	igneous	volcanic	felsic	rhyolite		71.816	0.348	14.446					2.394		0.08	0.686	2.411	4.116	3.596	0.106											51	48	69	0.249502	78																								42.0359	83.7614	9.98073	37.824	6.43986	1.58701	4.89782	0.566764	2.99134	0.520327	1.37103	0.181577	1.13523	0.17185													978						0.249502	48	110	0.88898	69	20		5.50999					13.5694			1.8382		8	51		17		54				12			853	0.967991		4.27477			0.63465	163	322.213	15	78	200									
PIG-03-124		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.5711	-73.0842	0.01	23	28.45	33.9	igneous	volcanic	felsic	rhyolite		67.945	0.563	15.743					2.983		0.073	1.17	2.983	4.63	3.708	0.202											12	10	12		64																								32	63		30	5.1	0.8		0.9					2.4	0.33													575							10	28	20	12	17.2												17	12		5		260							228							68		32	64	195									
PIG-05-01		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.2555	-72.898	0.01	2.6	12.8	23	igneous	volcanic	felsic	rhyolite																											4	0	1		16																								18.4706	34.8712	3.40547	10.9649	1.70527	0.428434	1.47905	0.204591	1.14467	0.232584	0.781699	0.127442	0.878536	0.144152													911							0	6	1.74705	1	14		1.87307					13.0698			0.494277		7	4		13		119				1			113	0.275265		10.9103			1.54029	19	1.04266	9	16	105									
PIG-02-90A		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.5144	-72.7228	0.01	16	19.5	23	igneous	volcanic	felsic	rhyolite		73.915	0.284	15.854					1.788		0.038	0.165	0.69	3.099	4.108	0.061											14	24.7																											15.6	33.5		17.8	4	0.92		0.62		0.65		0.25	2.16	0.33													361							24.7	57					3.1										5	14				77.5				28.01			347.6	0.3		12			1.6	259		22		106									
PIG-00-25		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.7858	-72.6683	0.01	2.6	12.8	23	igneous	volcanic	felsic	rhyolite		72.367	0.33	14.976					1.536		0.075	0.314	0.723	3.226	6.399	0.054											0.183339	0	2.03965	0.110778	36																								2.79118	5.89618	0.531166	1.49085	0.20519	0.027606	0.193056	0.0269327	0.193632	0.0442145	0.16384	0.0308351	0.253393	0.0423287													92						0.110778	0	8	5.50155	2.03965	18		3.93189					23.9926			4.95959		16	0.183339		24		158				4			33	1.24002		2.3074			0.965232	8	3.84815	6	36	116									
PIG-03-122		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.5711	-73.0842	0.01	2.6	12.8	23	igneous	volcanic	felsic	rhyolite		71.283	0.449	15.164					1.94		0.061	0.516	1.052	3.724	5.705	0.106											7	6	16		42																								35	65	7.1	23	4.2	0.8	3.4	0.58	3.1	0.63	1.8	0.28	1.9	0.32													662							6		6.6	16	15							20					14	7		17		195				5.6			212	1.4		24			6.2			17	42	194									
PIG-07-03		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.1996	-73.203	0.01	2.6	12.8	23	igneous	volcanic	felsic	rhyolite		74.925	0.162	14.331					0.836		0.08	0.384	0.865	3.14	5.254	0.021											10	45																											37.6	71.2		23.1	4.81	0.99		0.55					2.17	0.291													419							45	40	11.7				4.7											10								9.1				2.7		22.7			4.6														
CARA-05-03		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.8189	-73.2817	0.01	5.3	8.45	11.6	igneous	volcanic	felsic	rhyolite		74.156	0.245	13.822					1.543		0.094	0.252	1.18	4.419	4.217	0.07											3																																																						550								116															8	3				79							432							169		17		89									
80-31A		GEOROC	VATIN-PERIGNON, N.; OLIVER, R. A.; GOEMANS, P.; KELLER, F.; BRIQUEU, L.; SALAS, A. G., 1992		-15.42	-72.9	0.01	0.5	1	1.5	igneous	volcanic	felsic	dacite		68.472	0.652	15.645					3.091		0.051	1.07	2.762	4.423	3.567	0.265		0.74									8	8	35		81							0.706214			0.512505														40.1				5.59								0.81	0.13													1185							8	10		35			5.2					26					12	8				106							593			9.7				68			81	221									
PIG-03-121		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.5742	-73.09	0.01	2.6	12.8	23	igneous	volcanic	felsic	rhyolite		69.845	0.622	14.989					2.66		0.066	0.822	1.884	4.216	4.778	0.118											6.6	5.5	18		44																								33	65	6.8	22	4	0.76	3.3	0.45	2.9	0.61	1.7	0.27	1.9	0.32													637							5.5		11.7	18	15							14					13	6.6		18		196				5			202	1.4		25			7.3			16	44	190									
PIG-07-08		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.6549	-73.0772	0.01	2.6	12.8	23	igneous	volcanic	felsic	rhyolite		75.019	0.24	14.161					1.093		0.053	0.613	2.54	2.462	3.788	0.03											1	17																											35	66.7		27.3	5.69	1.4		0.71					2.2	0.308													1028							17	17	37.8				3.9											1								13				1.6		11.8			3.1														
PIG-07-01		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.4339	-73.3771	0.01	5.3	8.45	11.6	igneous	volcanic	felsic	rhyolite		70.378	0.472	15.964					2.523		0.048	0.882	2.252	3.558	3.845	0.079											10	13	4		36																								31	60		30	5.3	0.9		0.9					2.6	0.36													717							13	24	6	4	17.4												15	10		6		149							291							94		29	36	225									
